"","o__Acidaminococcales","o__Actinomycetales","o__Bacillales","o__Bacteroidales","o__Bifidobacteriales","o__Brachyspirales","o__Burkholderiales","o__Campylobacterales","o__Candidatus_Gastranaerophilales","o__Clostridiales","o__Coriobacteriales","o__Corynebacteriales","o__Desulfovibrionales","o__Eggerthellales","o__Enterobacterales","o__Erysipelotrichales","o__Firmicutes_unclassified","o__Fusobacteriales","o__Lactobacillales","o__Methanobacteriales","o__Methanomassiliicoccales","o__Micrococcales","o__Pasteurellales","o__Propionibacteriales","o__Proteobacteria_unclassified","o__Pseudomonadales","o__Selenomonadales","o__Synergistales","o__Tissierellales","o__Veillonellales","o__Verrucomicrobiales","o__Victivallales"
"81-tB",0,0,0,44.5247,0,0,3.64919,0,0,50.04383,0,0,0.3038,1.09509,0,0.13789,0.0675,0,0.04207,0,0,0,0,0,0.13593,0,0,0,0,0,0,0
"81-tP",0,0,0,41.8266,0,0,2.18711,0,0,55.3922,0,0,0.1235,0.26612,0,0.09112,0,0,0,0,0,0,0,0,0.06206,0,0,0,0,0.05129,0,0
"84-rB",0,0,0,81.72218,0,0,0,0,0,17.42689,0.71791,0,0,0.0545,0,0.07853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84-rP",0,0,0,81.58514,0,0,0,0,0,17.63814,0.77672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84-tB",0,0,0,75.32117,0,0,0,0,0,22.8432,1.54184,0,0,0.19585,0,0.09795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84-tP",0,0,0,71.5022,0,0,0,0,0,27.32652,0.96436,0,0,0.14691,0,0.06001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85-rB",0,0,0,76.38667,0,0,0,0,0,20.16119,0,0,0,0.99017,0.55005,1.90088,0,0,0.01104,0,0,0,0,0,0,0,0,0,0,0,0,0
"85-rP",0,0,0,47.27709,0.80276,0,0,0,0,19.92803,0,0,0,0.18761,31.46463,0.28305,0.05467,0,0.00216,0,0,0,0,0,0,0,0,0,0,0,0,0
"85-tB",0,0,0,59.17464,2.68336,0,0,0,0,36.23545,0,0,0,0.14548,0,0.23109,0.52069,0,1.00928,0,0,0,0,0,0,0,0,0,0,0,0,0
"85-tP",0,0,0.42949,61.77844,0.9851,0,0,0,0,22.34451,0,1.28449,0,1.76514,5.38117,1.41074,1.13774,0,0.28987,0,0,0,0,0,0,1.72733,0,0,1.46598,0,0,0
"95-rB",0,0,0,73.00613,1.02774,0,0.08417,0,0,24.13221,0,0,0.15787,0.2156,0.78075,0,0.12367,0,0.03955,0,0,0,0,0,0,0,0,0,0,0.43231,0,0
"95-rP",0,0,0,72.16558,5.83729,0,0.23083,0,0,16.16367,0,0,0.20424,0.33674,4.13861,0.01012,0.02317,0,0.15524,0,0,0,0,0,0,0,0,0,0,0.7345,0,0
"95-tB",0,0,0,70.59862,2.48717,0,0.10717,0,0,24.87027,0,0,0.15144,0.35721,0.67291,0.12323,0.15414,0,0.00933,0,0,0,0,0,0,0,0,0,0,0.46851,0,0
