"","term","estimate","std.error","statistic","p.value","padj"
"491","PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage.869.1617081196.PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage",0.0892826312863426,7.78260553408505,0.0114720746021774,0.990846809567922,1
"492","PWY.6124..inosine.5.phosphate.biosynthesis.II.1360.8183174913.PWY.6124..inosine.5.phosphate.biosynthesis.II",0.0450277255778438,3.9249854223668,0.0114720746021757,0.990846809567923,1
"493","PWY.5695..inosine.5.phosphate.degradation.1833.1979628524.PWY.5695..inosine.5.phosphate.degradation",0.0727380475166852,6.34044408174417,0.0114720746021745,0.990846809567924,1
"494","PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage.225.2462128711.PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage",0.619243659333049,53.97835010729,0.0114720746021731,0.990846809567925,1
"495","PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage.859.6020994127.PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage",0.103540531894952,9.02544094991802,0.0114720746021714,0.990846809567926,1
"496","PYRIDOXSYN.PWY..pyridoxal.5.phosphate.biosynthesis.I.992.2032903607.PYRIDOXSYN.PWY..pyridoxal.5.phosphate.biosynthesis.I",0.0304225142987959,2.65187556338232,0.0114720746021709,0.990846809567927,1
"497","PWY.6124..inosine.5.phosphate.biosynthesis.II.1414.1782466465.PWY.6124..inosine.5.phosphate.biosynthesis.II",0.107063920125397,9.33256833120129,0.0114720746021707,0.990846809567927,1
"498","PWY.5695..inosine.5.phosphate.degradation.605.7852706296.PWY.5695..inosine.5.phosphate.degradation",0.114822333817168,10.0088552244459,0.0114720746021705,0.990846809567927,1
"499","PWY.8131..5.deoxyadenosine.degradation.II.189.3732515280.PWY.8131..5.deoxyadenosine.degradation.II",0.29296312526178,25.5370659118937,0.0114720746021701,0.990846809567927,1
"500","PWY.6123..inosine.5.phosphate.biosynthesis.I.1748.5447946429.PWY.6123..inosine.5.phosphate.biosynthesis.I",0.0803011162046993,6.999703104224,0.0114720746021701,0.990846809567927,1
"501","PWY.6123..inosine.5.phosphate.biosynthesis.I.1575.1077834915.PWY.6123..inosine.5.phosphate.biosynthesis.I",0.0302895900590489,2.64028879774899,0.0114720746021695,0.990846809567928,1
"502","PWY.8131..5.deoxyadenosine.degradation.II.111.9952713104.PWY.8131..5.deoxyadenosine.degradation.II",0.448808014517406,39.1217831195531,0.0114720746021694,0.990846809567928,1
"503","PWY.5695..inosine.5.phosphate.degradation.1279.8063290742.PWY.5695..inosine.5.phosphate.degradation",0.113251794560476,9.87195415718963,0.0114720746021694,0.990846809567928,1
