Program,xPONENT,,MAGPIX,,,,,,,,,,,,,
"49(1,A7)",84-1,13.5,8,335,11180.5,7,75.5,5,105.5,4292.5,448,5,18850.5,3424,,
"50(1,B7)",84-1,18.5,10,307,11206.5,8,73.5,7,100,5979,460,7,21166.5,4605,,
"51(1,C7)",84-2,18.5,11,216,10197,10.5,99.5,8,73,4559,444.5,8,20085.5,4820,,
"52(1,D7)",84-2,14.5,9,176,10657.5,9,25.5,7,55,6815.5,330,8,23353.5,5190,,
"53(1,E7)",84-3,17.5,9,331,10982.5,7,94.5,7,109,4833,547,7,20489,4789,,
"54(1,F7)",84-3,18.5,8,303.5,10856.5,8,115.5,7,100,7139.5,805.5,6,27426.5,3929,,
"55(1,G7)",84-4,34.5,3108,124.5,7158.5,2,124.5,13,57,NaN,NaN,61,13586.5,25,,
"56(1,H7)",84-4,15.5,2135,227,7214.5,4,NaN,20,68,NaN,341,-4,13414,27,,
"57(1,A8)",95-1,7.5,1461.5,104.5,6585,-1,67.5,19.5,43,4621.5,NaN,NaN,6916,24,,
"58(1,B8)",95-1,13.5,8,262,9086.5,7,60.5,6,59,4649,347.5,4,21194.5,3933,,
"59(1,C8)",95-2,17.5,10,164,9933.5,9,51,6,73,5608.5,1296,7,31718.5,3793,,
"60(1,D8)",95-2,18.5,12,141,10218,14,19.5,10,41,6949.5,230,11,24826.5,6168,,
"61(1,E8)",95-3,16.5,11,238,7725.5,7,117.5,7,44,6610.5,440,4,24745.5,3320,,
"62(1,F8)",95-3,15.5,9,223.5,7583.5,7,76.5,5.5,46,5729.5,361,7,23289,3185,,
"63(1,G8)",95-4,17.5,11,198,10356.5,9,56.5,6,39.5,6926.5,376.5,6.5,25376.5,3806,,
"64(1,H8)",95-4,14.5,9,258.5,10569.5,5,97.5,3,37,6232,405,3,23981.5,2151,,
"65(1,A9)",96-1,9.5,1,222,5959.5,8,203.5,6,94,4973.5,305,5,21879,4315,,
"66(1,B9)",96-1,13.5,4,209,6009.5,8,172.5,7,87,5337,274,6,22189.5,4132,,
"67(1,C9)",96-2,14.5,3,210,6600.5,10,314.5,8,78.5,5316,295.5,7,22440.5,3823,,
"68(1,D9)",96-2,14.5,5,188,6438.5,11,84.5,8,71,4695.5,149,9,21759.5,6075,,
"69(1,E9)",96-3,21.5,3,214,5784.5,7,302.5,5,68,4844,255,5,21537.5,3787,,
"70(1,F9)",96-3,18.5,2,197,5787.5,5,259.5,5,58,5105.5,224,4,21501,3249,,
"71(1,G9)",96-4,22.5,4,245,6814.5,9,245.5,10,83,4485,255,9,23632.5,3807,,
"72(1,H9)",96-4,20.5,0,270,7010,6.5,260.5,6,82,4768.5,260,6,24033.5,2176,,
"73(1,A10)",99-1,16.5,7,138,10694.5,9,85.5,9,104,4670,751,5,21321.5,4363,,
"74(1,B10)",99-1,15.5,8,145,10782.5,9,81.5,6,97,4511.5,714,6,21161,4805,,
"75(1,C10)",99-2,14.5,9,123,11041.5,8,74.5,7,66,5285,645,4,21854.5,4083,,
"76(1,D10)",99-2,13.5,8,105,10640.5,12,27.5,8,58,4482.5,369,7,20997.5,6353,,
"77(1,E10)",99-3,19.5,8,162,11742.5,8.5,75.5,6,110,5695.5,816,6,22446.5,4143,,
"78(1,F10)",99-3,15.5,7,152,11479.5,9,53.5,6,94,6173,733,5,22842.5,4244,,
"79(1,G10)",99-4,16.5,7,136,11442,9,51.5,6,122.5,6600,769,3,24082,3042,,
"80(1,H10)",99-4,14.5,4.5,148.5,11580,6,77.5,4,142,5597,836,1,22320.5,2190,,
"81(1,A11)",101-1,14.5,7,347,10445.5,8,154.5,5,205,5801.5,679.5,5.5,20832,4221,,
"82(1,B11)",101-1,13.5,8.5,311.5,10369.5,9,104.5,6,171,6035.5,564,7,20713.5,4609,,
"83(1,C11)",101-2,14.5,7,296,9583.5,9,189.5,7,74,6521,736,7.5,22064.5,4756,,
"84(1,D11)",101-2,14.5,9,205,9732.5,13,30.5,9,48.5,6790,355,11,21645.5,6419,,
"85(1,E11)",101-3,16.5,10,318,7848.5,11.5,43.5,10,78,5740,398,11,20286.5,3733,,
"86(1,F11)",101-3,14.5,5,346,7812,9,49.5,7,78,5857.5,431,7,19947.5,4612,,
"87(1,G11)",101-4,13.5,5,289,11516,6,69.5,6,70,6595.5,692.5,4.5,22214.5,2985,,
